Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:01:35.210000,STR,18,0 days 00:01:29.196000,20.0,2.0,,,0 days 00:00:29.540000,0 days 00:00:30.175000,0 days 00:00:29.481000,0 days 02:00:35.649000,0 days 02:01:05.824000,0 days 02:01:35.305000,273.0,287.0,288.0,287.0,False,HARD,17.0,True,Aston Martin,0 days 02:00:06.014000,,1,20.0,,,False,True
0 days 02:03:04.865000,STR,18,0 days 00:01:29.655000,21.0,2.0,,,0 days 00:00:29.782000,0 days 00:00:30.469000,0 days 00:00:29.404000,0 days 02:02:05.087000,0 days 02:02:35.556000,0 days 02:03:04.960000,278.0,292.0,291.0,297.0,False,HARD,18.0,True,Aston Martin,0 days 02:01:35.210000,,1,21.0,,,False,True
0 days 02:04:34.071000,STR,18,0 days 00:01:29.206000,22.0,2.0,,,0 days 00:00:29.571000,0 days 00:00:30.230000,0 days 00:00:29.405000,0 days 02:03:34.531000,0 days 02:04:04.761000,0 days 02:04:34.166000,275.0,289.0,288.0,290.0,False,HARD,19.0,True,Aston Martin,0 days 02:03:04.865000,,1,21.0,,,False,True
0 days 02:06:03.499000,STR,18,0 days 00:01:29.428000,23.0,2.0,,,0 days 00:00:28.686000,0 days 00:00:31.230000,0 days 00:00:29.512000,0 days 02:05:02.852000,0 days 02:05:34.082000,0 days 02:06:03.594000,276.0,288.0,288.0,286.0,False,HARD,20.0,True,Aston Martin,0 days 02:04:34.071000,,1,21.0,,,False,True
0 days 02:07:33.477000,STR,18,0 days 00:01:29.978000,24.0,2.0,,,0 days 00:00:29.841000,0 days 00:00:30.589000,0 days 00:00:29.548000,0 days 02:06:33.435000,0 days 02:07:04.024000,0 days 02:07:33.572000,274.0,285.0,291.0,290.0,False,HARD,21.0,True,Aston Martin,0 days 02:06:03.499000,,1,20.0,,,False,True
0 days 02:09:05.082000,STR,18,0 days 00:01:31.605000,25.0,2.0,,,0 days 00:00:29.602000,0 days 00:00:31.588000,0 days 00:00:30.415000,0 days 02:08:03.174000,0 days 02:08:34.762000,0 days 02:09:05.177000,273.0,266.0,289.0,289.0,False,HARD,22.0,True,Aston Martin,0 days 02:07:33.477000,,1,20.0,,,False,True
0 days 02:10:34.527000,STR,18,0 days 00:01:29.445000,26.0,2.0,,,0 days 00:00:29.642000,0 days 00:00:30.345000,0 days 00:00:29.458000,0 days 02:09:34.819000,0 days 02:10:05.164000,0 days 02:10:34.622000,272.0,287.0,288.0,290.0,False,HARD,23.0,True,Aston Martin,0 days 02:09:05.082000,,1,20.0,,,False,True
0 days 02:13:04.527000,STR,18,,27.0,2.0,,,,,,,,,,,,,,HARD,24.0,True,Aston Martin,0 days 02:10:34.527000,,1267,,,,True,False
0 days 00:58:32.149000,TSU,22,0 days 00:01:36.174000,1.0,1.0,,,,0 days 00:00:32.709000,0 days 00:00:30.835000,,0 days 00:58:01.624000,0 days 00:58:32.241000,293.0,323.0,289.0,249.0,False,HARD,1.0,True,Racing Bulls,0 days 00:56:55.761000,,1,15.0,,,False,False
0 days 01:00:00.963000,TSU,22,0 days 00:01:28.814000,2.0,1.0,,,0 days 00:00:29.356000,0 days 00:00:30.534000,0 days 00:00:28.924000,0 days 00:59:01.597000,0 days 00:59:32.131000,0 days 01:00:01.055000,284.0,310.0,284.0,309.0,True,HARD,2.0,True,Racing Bulls,0 days 00:58:32.149000,,12,14.0,,,False,True
0 days 01:02:32.333000,TSU,22,,3.0,1.0,,0 days 01:02:26.298000,0 days 00:00:43.170000,0 days 00:00:48.640000,0 days 00:00:59.500000,0 days 01:00:44.285000,0 days 01:01:32.978000,0 days 01:02:32.532000,132.0,165.0,,310.0,False,HARD,3.0,True,Racing Bulls,0 days 01:00:00.963000,,245,14.0,,,False,False
0 days 01:35:06.921000,TSU,22,,4.0,2.0,0 days 01:33:06.297000,,,0 days 00:00:34.534000,0 days 00:00:50.912000,,0 days 01:34:16.101000,0 days 01:35:07.079000,250.0,258.0,35.0,212.0,False,MEDIUM,1.0,True,Racing Bulls,0 days 01:32:24.927000,,1,14.0,,,False,False
0 days 01:38:25.064000,TSU,22,,5.0,2.0,,,,0 days 00:00:35.643000,0 days 00:00:47.651000,,0 days 01:37:37.575000,0 days 01:38:25.423000,218.0,261.0,63.0,180.0,False,MEDIUM,2.0,True,Racing Bulls,0 days 01:35:06.921000,,1,14.0,,,False,False
0 days 01:40:41.129000,TSU,22,0 days 00:02:16.065000,6.0,2.0,,,0 days 00:01:15.132000,0 days 00:00:31.725000,0 days 00:00:29.208000,0 days 01:39:40.288000,0 days 01:40:12.013000,0 days 01:40:41.221000,291.0,321.0,312.0,298.0,False,MEDIUM,3.0,True,Racing Bulls,0 days 01:38:25.064000,,12,10.0,,,False,True
0 days 01:42:09.219000,TSU,22,0 days 00:01:28.090000,7.0,2.0,,,0 days 00:00:28.565000,0 days 00:00:30.497000,0 days 00:00:29.028000,0 days 01:41:09.786000,0 days 01:41:40.283000,0 days 01:42:09.311000,295.0,322.0,326.0,315.0,True,MEDIUM,4.0,True,Racing Bulls,0 days 01:40:41.129000,,1,10.0,,,False,True
0 days 01:43:36.588000,TSU,22,0 days 00:01:27.369000,8.0,2.0,,,0 days 00:00:28.263000,0 days 00:00:30.355000,0 days 00:00:28.751000,0 days 01:42:37.574000,0 days 01:43:07.929000,0 days 01:43:36.680000,287.0,321.0,323.0,331.0,True,MEDIUM,5.0,True,Racing Bulls,0 days 01:42:09.219000,,1,10.0,,,False,True
0 days 01:45:03.219000,TSU,22,0 days 00:01:26.631000,9.0,2.0,,,0 days 00:00:28.187000,0 days 00:00:29.950000,0 days 00:00:28.494000,0 days 01:44:04.867000,0 days 01:44:34.817000,0 days 01:45:03.311000,289.0,308.0,308.0,305.0,True,MEDIUM,6.0,True,Racing Bulls,0 days 01:43:36.588000,,1,9.0,,,False,True
0 days 01:46:30.213000,TSU,22,0 days 00:01:26.994000,10.0,2.0,,,0 days 00:00:28.532000,0 days 00:00:29.887000,0 days 00:00:28.575000,0 days 01:45:31.843000,0 days 01:46:01.730000,0 days 01:46:30.305000,289.0,306.0,307.0,314.0,False,MEDIUM,7.0,True,Racing Bulls,0 days 01:45:03.219000,,1,9.0,,,False,True
0 days 01:47:57.072000,TSU,22,0 days 00:01:26.859000,11.0,2.0,,,0 days 00:00:28.521000,0 days 00:00:29.824000,0 days 00:00:28.514000,0 days 01:46:58.826000,0 days 01:47:28.650000,0 days 01:47:57.164000,290.0,307.0,309.0,313.0,False,MEDIUM,8.0,True,Racing Bulls,0 days 01:46:30.213000,,1,9.0,,,False,True
0 days 01:49:23.805000,TSU,22,0 days 00:01:26.733000,12.0,2.0,,,0 days 00:00:28.441000,0 days 00:00:29.691000,0 days 00:00:28.601000,0 days 01:48:25.605000,0 days 01:48:55.296000,0 days 01:49:23.897000,289.0,306.0,311.0,313.0,False,MEDIUM,9.0,True,Racing Bulls,0 days 01:47:57.072000,,1,9.0,,,False,True
0 days 01:50:50.286000,TSU,22,0 days 00:01:26.481000,13.0,2.0,,,0 days 00:00:28.355000,0 days 00:00:29.663000,0 days 00:00:28.463000,0 days 01:49:52.252000,0 days 01:50:21.915000,0 days 01:50:50.378000,290.0,307.0,313.0,312.0,True,MEDIUM,10.0,True,Racing Bulls,0 days 01:49:23.805000,,1,9.0,,,False,True
0 days 01:52:17.162000,TSU,22,0 days 00:01:26.876000,14.0,2.0,,,0 days 00:00:28.476000,0 days 00:00:29.891000,0 days 00:00:28.509000,0 days 01:51:18.854000,0 days 01:51:48.745000,0 days 01:52:17.254000,289.0,306.0,307.0,312.0,False,MEDIUM,11.0,True,Racing Bulls,0 days 01:50:50.286000,,1,9.0,,,False,True
0 days 01:53:43.692000,TSU,22,0 days 00:01:26.530000,15.0,2.0,,,0 days 00:00:28.469000,0 days 00:00:29.659000,0 days 00:00:28.402000,0 days 01:52:45.723000,0 days 01:53:15.382000,0 days 01:53:43.784000,290.0,307.0,314.0,311.0,False,MEDIUM,12.0,True,Racing Bulls,0 days 01:52:17.162000,,1,9.0,,,False,True
0 days 01:55:10.384000,TSU,22,0 days 00:01:26.692000,16.0,2.0,,,0 days 00:00:28.336000,0 days 00:00:29.830000,0 days 00:00:28.526000,0 days 01:54:12.120000,0 days 01:54:41.950000,0 days 01:55:10.476000,289.0,307.0,314.0,314.0,False,MEDIUM,13.0,True,Racing Bulls,0 days 01:53:43.692000,,1,9.0,,,False,True
0 days 01:56:36.969000,TSU,22,0 days 00:01:26.585000,17.0,2.0,,,0 days 00:00:28.272000,0 days 00:00:29.825000,0 days 00:00:28.488000,0 days 01:55:38.748000,0 days 01:56:08.573000,0 days 01:56:37.061000,290.0,307.0,315.0,316.0,False,MEDIUM,14.0,True,Racing Bulls,0 days 01:55:10.384000,,1,9.0,,,False,True
0 days 01:58:03.655000,TSU,22,0 days 00:01:26.686000,18.0,2.0,,,0 days 00:00:28.297000,0 days 00:00:29.792000,0 days 00:00:28.597000,0 days 01:57:05.358000,0 days 01:57:35.150000,0 days 01:58:03.747000,291.0,308.0,314.0,317.0,False,MEDIUM,15.0,True,Racing Bulls,0 days 01:56:36.969000,,1,9.0,,,False,True
0 days 01:59:30.631000,TSU,22,0 days 00:01:26.976000,19.0,2.0,,,0 days 00:00:28.483000,0 days 00:00:29.925000,0 days 00:00:28.568000,0 days 01:58:32.230000,0 days 01:59:02.155000,0 days 01:59:30.723000,291.0,307.0,313.0,318.0,False,MEDIUM,16.0,True,Racing Bulls,0 days 01:58:03.655000,,1,9.0,,,False,True
0 days 02:00:57.582000,TSU,22,0 days 00:01:26.951000,20.0,2.0,,,0 days 00:00:28.318000,0 days 00:00:29.872000,0 days 00:00:28.761000,0 days 01:59:59.041000,0 days 02:00:28.913000,0 days 02:00:57.674000,291.0,309.0,312.0,316.0,False,MEDIUM,17.0,True,Racing Bulls,0 days 01:59:30.631000,,1,9.0,,,False,True
0 days 02:02:24.481000,TSU,22,0 days 00:01:26.899000,21.0,2.0,,,0 days 00:00:28.466000,0 days 00:00:29.871000,0 days 00:00:28.562000,0 days 02:01:26.140000,0 days 02:01:56.011000,0 days 02:02:24.573000,291.0,309.0,313.0,315.0,False,MEDIUM,18.0,True,Racing Bulls,0 days 02:00:57.582000,,1,9.0,,,False,True
0 days 02:03:51.347000,TSU,22,0 days 00:01:26.866000,22.0,2.0,,,0 days 00:00:28.406000,0 days 00:00:29.939000,0 days 00:00:28.521000,0 days 02:02:52.979000,0 days 02:03:22.918000,0 days 02:03:51.439000,290.0,308.0,313.0,317.0,False,MEDIUM,19.0,True,Racing Bulls,0 days 02:02:24.481000,,1,9.0,,,False,True
