Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:59:55.878000,NOR,1,0 days 00:01:41.813000,1.0,1.0,,,,0 days 00:00:36.257000,0 days 00:00:32.846000,,0 days 00:59:23.121000,0 days 00:59:55.944000,201.0,251.0,222.0,298.0,False,MEDIUM,1.0,True,McLaren,0 days 00:58:13.809000,,12,1.0,,,False,False
0 days 01:01:35.282000,NOR,1,0 days 00:01:39.404000,2.0,1.0,,,0 days 00:00:30.504000,0 days 00:00:35.647000,0 days 00:00:33.253000,0 days 01:00:26.415000,0 days 01:01:02.062000,0 days 01:01:35.315000,218.0,247.0,217.0,295.0,True,MEDIUM,2.0,True,McLaren,0 days 00:59:55.878000,,1,1.0,,,False,True
0 days 01:03:15.393000,NOR,1,0 days 00:01:40.111000,3.0,1.0,,,0 days 00:00:30.661000,0 days 00:00:36.019000,0 days 00:00:33.431000,0 days 01:02:05.976000,0 days 01:02:41.995000,0 days 01:03:15.426000,218.0,250.0,220.0,294.0,False,MEDIUM,3.0,True,McLaren,0 days 01:01:35.282000,,1,1.0,,,False,True
0 days 01:04:55.512000,NOR,1,0 days 00:01:40.119000,4.0,1.0,,,0 days 00:00:30.370000,0 days 00:00:36.213000,0 days 00:00:33.536000,0 days 01:03:45.796000,0 days 01:04:22.009000,0 days 01:04:55.545000,220.0,249.0,220.0,287.0,False,MEDIUM,4.0,True,McLaren,0 days 01:03:15.393000,,1,1.0,,,False,True
0 days 01:06:35.276000,NOR,1,0 days 00:01:39.764000,5.0,1.0,,,0 days 00:00:30.385000,0 days 00:00:36.044000,0 days 00:00:33.335000,0 days 01:05:25.930000,0 days 01:06:01.974000,0 days 01:06:35.309000,218.0,250.0,220.0,291.0,False,MEDIUM,5.0,True,McLaren,0 days 01:04:55.512000,,12,1.0,,,False,True
0 days 01:08:14.621000,NOR,1,0 days 00:01:39.345000,6.0,1.0,,,0 days 00:00:30.389000,0 days 00:00:35.842000,0 days 00:00:33.114000,0 days 01:07:05.698000,0 days 01:07:41.540000,0 days 01:08:14.654000,223.0,252.0,221.0,295.0,True,MEDIUM,6.0,True,McLaren,0 days 01:06:35.276000,,21,1.0,,,False,True
0 days 01:09:54.119000,NOR,1,0 days 00:01:39.498000,7.0,1.0,,,0 days 00:00:30.334000,0 days 00:00:35.872000,0 days 00:00:33.292000,0 days 01:08:44.988000,0 days 01:09:20.860000,0 days 01:09:54.152000,222.0,252.0,221.0,294.0,False,MEDIUM,7.0,True,McLaren,0 days 01:08:14.621000,,1,1.0,,,False,True
0 days 01:11:33.462000,NOR,1,0 days 00:01:39.343000,8.0,1.0,,,0 days 00:00:30.307000,0 days 00:00:35.780000,0 days 00:00:33.256000,0 days 01:10:24.459000,0 days 01:11:00.239000,0 days 01:11:33.495000,222.0,252.0,220.0,299.0,True,MEDIUM,8.0,True,McLaren,0 days 01:09:54.119000,,1,1.0,,,False,True
0 days 01:13:12.584000,NOR,1,0 days 00:01:39.122000,9.0,1.0,,,0 days 00:00:30.233000,0 days 00:00:35.709000,0 days 00:00:33.180000,0 days 01:12:03.728000,0 days 01:12:39.437000,0 days 01:13:12.617000,222.0,252.0,220.0,296.0,True,MEDIUM,9.0,True,McLaren,0 days 01:11:33.462000,,1,1.0,,,False,True
0 days 01:14:51.675000,NOR,1,0 days 00:01:39.091000,10.0,1.0,,,0 days 00:00:30.297000,0 days 00:00:35.713000,0 days 00:00:33.081000,0 days 01:13:42.914000,0 days 01:14:18.627000,0 days 01:14:51.708000,220.0,253.0,222.0,292.0,True,MEDIUM,10.0,True,McLaren,0 days 01:13:12.584000,,1,1.0,,,False,True
0 days 01:16:30.904000,NOR,1,0 days 00:01:39.229000,11.0,1.0,,,0 days 00:00:30.362000,0 days 00:00:35.794000,0 days 00:00:33.073000,0 days 01:15:22.070000,0 days 01:15:57.864000,0 days 01:16:30.937000,222.0,254.0,222.0,292.0,False,MEDIUM,11.0,True,McLaren,0 days 01:14:51.675000,,1,1.0,,,False,True
0 days 01:18:10.199000,NOR,1,0 days 00:01:39.295000,12.0,1.0,,,0 days 00:00:30.309000,0 days 00:00:35.766000,0 days 00:00:33.220000,0 days 01:17:01.246000,0 days 01:17:37.012000,0 days 01:18:10.232000,220.0,252.0,221.0,292.0,False,MEDIUM,12.0,True,McLaren,0 days 01:16:30.904000,,1,1.0,,,False,True
0 days 01:19:49.621000,NOR,1,0 days 00:01:39.422000,13.0,1.0,,,0 days 00:00:30.484000,0 days 00:00:35.759000,0 days 00:00:33.179000,0 days 01:18:40.716000,0 days 01:19:16.475000,0 days 01:19:49.654000,220.0,255.0,219.0,292.0,False,MEDIUM,13.0,True,McLaren,0 days 01:18:10.199000,,1,1.0,,,False,True
0 days 01:21:29.951000,NOR,1,0 days 00:01:40.330000,14.0,1.0,,,0 days 00:00:30.384000,0 days 00:00:35.890000,0 days 00:00:34.056000,0 days 01:20:20.038000,0 days 01:20:55.928000,0 days 01:21:29.984000,222.0,253.0,196.0,291.0,False,MEDIUM,14.0,True,McLaren,0 days 01:19:49.621000,,126,1.0,,,False,False
0 days 01:23:56.075000,NOR,1,0 days 00:02:26.124000,15.0,1.0,,0 days 01:23:55.220000,0 days 00:00:50.861000,0 days 00:00:48.134000,0 days 00:00:47.129000,0 days 01:22:20.845000,0 days 01:23:08.979000,0 days 01:23:56.108000,196.0,210.0,,107.0,False,MEDIUM,15.0,True,McLaren,0 days 01:21:29.951000,,671,1.0,,,False,False
0 days 01:26:02.585000,NOR,1,0 days 00:02:06.510000,16.0,2.0,0 days 01:24:30.219000,,0 days 00:00:57.867000,0 days 00:00:36.076000,0 days 00:00:32.567000,0 days 01:24:53.975000,0 days 01:25:30.051000,0 days 01:26:02.618000,211.0,251.0,224.0,243.0,False,HARD,1.0,True,McLaren,0 days 01:23:56.075000,,1,5.0,,,False,False
0 days 01:27:40.871000,NOR,1,0 days 00:01:38.286000,17.0,2.0,,,0 days 00:00:29.899000,0 days 00:00:35.700000,0 days 00:00:32.687000,0 days 01:26:32.517000,0 days 01:27:08.217000,0 days 01:27:40.904000,220.0,251.0,224.0,291.0,True,HARD,2.0,True,McLaren,0 days 01:26:02.585000,,1,5.0,,,False,True
0 days 01:29:18.831000,NOR,1,0 days 00:01:37.960000,18.0,2.0,,,0 days 00:00:29.923000,0 days 00:00:35.485000,0 days 00:00:32.552000,0 days 01:28:10.827000,0 days 01:28:46.312000,0 days 01:29:18.864000,221.0,256.0,223.0,295.0,True,HARD,3.0,True,McLaren,0 days 01:27:40.871000,,1,5.0,,,False,True
0 days 01:30:57.056000,NOR,1,0 days 00:01:38.225000,19.0,2.0,,,0 days 00:00:29.860000,0 days 00:00:35.638000,0 days 00:00:32.727000,0 days 01:29:48.724000,0 days 01:30:24.362000,0 days 01:30:57.089000,222.0,255.0,222.0,294.0,False,HARD,4.0,True,McLaren,0 days 01:29:18.831000,,1,5.0,,,False,True
0 days 01:32:35.041000,NOR,1,0 days 00:01:37.985000,20.0,2.0,,,0 days 00:00:29.822000,0 days 00:00:35.479000,0 days 00:00:32.684000,0 days 01:31:26.911000,0 days 01:32:02.390000,0 days 01:32:35.074000,224.0,252.0,224.0,296.0,False,HARD,5.0,True,McLaren,0 days 01:30:57.056000,,1,5.0,,,False,True
0 days 01:34:13.280000,NOR,1,0 days 00:01:38.239000,21.0,2.0,,,0 days 00:00:29.799000,0 days 00:00:35.645000,0 days 00:00:32.795000,0 days 01:33:04.873000,0 days 01:33:40.518000,0 days 01:34:13.313000,221.0,252.0,222.0,295.0,False,HARD,6.0,True,McLaren,0 days 01:32:35.041000,,1,5.0,,,False,True
0 days 01:35:51.447000,NOR,1,0 days 00:01:38.167000,22.0,2.0,,,0 days 00:00:29.921000,0 days 00:00:35.516000,0 days 00:00:32.730000,0 days 01:34:43.234000,0 days 01:35:18.750000,0 days 01:35:51.480000,221.0,252.0,221.0,294.0,False,HARD,7.0,True,McLaren,0 days 01:34:13.280000,,1,5.0,,,False,True
0 days 01:37:29.623000,NOR,1,0 days 00:01:38.176000,23.0,2.0,,,0 days 00:00:29.841000,0 days 00:00:35.414000,0 days 00:00:32.921000,0 days 01:36:21.321000,0 days 01:36:56.735000,0 days 01:37:29.656000,222.0,256.0,221.0,292.0,False,HARD,8.0,True,McLaren,0 days 01:35:51.447000,,1,5.0,,,False,True
